dispensary_name,license_number,license_expiration,first_name,last_name,email,phone,city,website,status
MODERN DYNAMICS MFG MEDICAL LLC,DSP170,04/18/2026,,,,,,,pending
"MV LEWISTON, LLC",DSP234,09/08/2026,,,,,,,pending
MV UNITY LLC,DSP223,04/02/2026,,,,,,,pending
"NEW ENGLAND TREE FARM, LLC",DSP144,06/16/2026,,,,,,,pending
NEW MILL LLC,DSP208,04/16/2026,,,,,,,pending
"NORTHEAST ALLIANCE, LLC",DSP123,05/09/2026,,,,,,,pending
NORTHERN TERPS LLC,DSP153,09/27/2026,,,,,,,pending
ORIGINS CANNABIS COMPANY LLC,DSP128,02/10/2026,,,,,,,pending
"ORLAND MVILLE, LLC",DSP237,10/20/2026,,,,,,,pending
POT + PAN MEDICAL LLC,DSP132,03/02/2026,,,,,,,pending
"PRIMARY ORGANIC THERAPY, INC.",DSP105,12/17/2026,,,,,,,pending
REMAINE HUMBLE FARMS LLC,DSP160,02/15/2026,,,,,,,pending
"REMEDY COMPASSION CENTER, INC.",DSP101,02/20/2026,,,,,,,pending
"RICHARDSON REMEDIES, LLC",DSP239,12/22/2026,,,,,,,pending
RIPPLE WELLNESS LLC,DSP212,03/30/2026,,,,,,,pending
"RIVER ROAD AGRICULTURAL, LLC",DSP171,02/14/2026,,,,,,,pending
RIVERSIDE GREENERY LLC,DSP172,04/19/2026,,,,,,,pending
"RUGGED ROOTS SOUTH, LLC",DSP161,10/19/2026,,,,,,,pending
"RUGGED ROOTS, LLC",DSP109,12/29/2026,,,,,,,pending
SAFE ALTERNATIVES,DSP104,11/20/2026,,,,,,,pending
"SEASMOKE EXTRACTS, INC.",DSP213,12/29/2026,,,,,,,pending
"SILVER SMOKE, LLC",DSP210,11/25/2026,,,,,,,pending
"THE STONED MOOSE, LLC",DSP222,02/13/2026,,,,,,,pending
"STONER & CO., LLC",DSP152,02/02/2026,,,,,,,pending
"TOP NOTCH CANNABIS, LLC",DSP181,06/11/2026,,,,,,,pending
TOPS FARM YORK,DSP119,12/08/2026,,,,,,,pending
UPSTATE  GARDENS LLC,DSP158,12/14/2026,,,,,,,pending
Y&Z GROW LLC,DSP188,02/22/2026,,,,,,,pending
"YOUR COASTAL CONNECTION, LLC",DSP228,06/17/2026,,,,,,,pending
